condition batch animal
A61l1 A61 red a
A61r1 A61 red a
A61l2 A61 red b
A61r2 A61 red b
A61l3 A61 red c
A61r3 A61 red c
A61r4 A61 cyan d
A61r5 A61 cyan e
A61r6 A61 cyan f
A62l1 A62 red a
A62r1 A62 red a
A62l2 A62 red b
A62r2 A62 red b
A62l3 A62 red c
A62r3 A62 red c
A62r4 A62 cyan d
A62l5 A62 cyan e
A62r6 A62 cyan f
